step,epoch,accuracy,rouge1,rougeL,bleu,masked_accuracy,meteor,chrf,fuzzy,len_ratio,bertscore_f1,semantic_similarity,train_loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.0,0.0,0.020185998457353957,0.020099382941582433,0.006257633064350239,0.15574488146551724,0.04484998703417236,0.20038689013409533,0.32639989621479537,2.6025315734958863,0.8238887786865234,0.3792654610356397,,,,12.226871490478516,2.253,204.174,25.744
517,1.0,0.004782608695652174,0.008969117749034292,0.008969117749034292,0.0498228501463424,0.7291891163793104,0.10037991493069769,0.2306357899382513,0.391690808872332,1.4162868012116758,0.8456631898880005,0.4210627569938483,4.7453,1.256395697593689,8.990542989464362e-05,1.428311824798584,2.3516,195.61,24.664
1034,2.0,0.026956521739130435,0.03266666666666667,0.03266666666666667,0.09753360866803644,0.7563981681034483,0.150352965536101,0.27680290590220946,0.4324981331881633,1.4214910118792454,0.8592342734336853,0.45915971966055424,1.5121,0.7518677115440369,8.934421086099257e-05,1.2661913633346558,2.3254,197.814,24.942
1551,3.0,0.028695652173913042,0.027097308488612835,0.027097308488612835,0.10373424220739927,0.7684536637931034,0.15576892732697306,0.28203208858001366,0.43455897504605867,1.47985950086375,0.8607394099235535,0.45568222699443933,1.3411,1.2888814210891724,8.828438292905456e-05,1.215021014213562,2.3313,197.312,24.879
2068,4.0,0.03,0.040466873706004144,0.040466873706004144,0.11692144542129872,0.7752222521551724,0.17569870120081027,0.29995660371545746,0.44430517366587713,1.59304767679243,0.8631236553192139,0.4666252072779057,1.262,0.6465467810630798,8.673786286603e-05,1.163790225982666,2.3354,196.965,24.835
2585,5.0,0.02826086956521739,0.046150103519668736,0.046150103519668736,0.11770899546035124,0.7798019935344828,0.18480993244182162,0.310810029085521,0.4490685577045549,1.583789654848126,0.8646263480186462,0.47203621902968734,1.2044,0.7934989333152771,8.472203983388237e-05,1.132574439048767,2.3242,197.917,24.955
3102,6.0,0.03434782608695652,0.05556418219461698,0.05556418219461698,0.11437844233322222,0.7847521551724138,0.18995897185271157,0.3206365690781469,0.4520211561121499,1.6536210780478886,0.8644713759422302,0.46971488713813214,1.1632,0.6264299750328064,8.225957986458483e-05,1.1057865619659424,2.3274,197.645,24.92
3619,7.0,0.027391304347826086,0.04593581780538302,0.04593581780538302,0.11681045729291663,0.788018588362069,0.19562774859034662,0.32173931324821897,0.45369940293407074,1.6062276895676944,0.8656347393989563,0.4723487059757842,1.1308,0.8049394488334656,7.937817100193223e-05,1.092827320098877,2.3403,196.555,24.783
4136,8.0,0.03260869565217391,0.06752274295752557,0.06752274295752557,0.12897194938055717,0.7898706896551724,0.21161186813546426,0.3356477601973533,0.4632564644120669,1.6077169771378308,0.8675152063369751,0.48346202699609264,1.1038,0.7374570369720459,7.611021197555868e-05,1.0782634019851685,2.3276,197.626,24.918
4653,9.0,0.03130434782608696,0.060473053516531775,0.060473053516531775,0.1191135398130341,0.7919585129310345,0.20162632953638893,0.3278879436832333,0.46028481754641265,1.5194072209274727,0.8682589530944824,0.48612905133738304,1.0853,1.163740634918213,7.24924479077281e-05,1.0632283687591553,2.3167,198.561,25.036
5170,10.0,0.026521739130434784,0.05698237028671812,0.05698237028671812,0.1294698490773092,0.7937432650862069,0.2133664642475408,0.33355743584068526,0.4636967694011819,1.5369197911224126,0.8683143854141235,0.48885740427968455,1.0636,0.654390811920166,6.85655571490324e-05,1.0637420415878296,2.3336,197.124,24.855
5687,11.0,0.035217391304347825,0.06832605558692516,0.06832605558692516,0.13458873837187,0.7950902478448276,0.21641123303827553,0.33816220936622565,0.4687011231115205,1.4853941002250564,0.8702226877212524,0.499378122591778,1.0478,0.6159757971763611,6.437369388864012e-05,1.0515046119689941,2.3349,197.013,24.841
6204,12.0,0.03260869565217391,0.06482916117698727,0.06482916117698727,0.13398119134882863,0.795831088362069,0.21688378641372977,0.33564023659550757,0.4649899083189535,1.5091124816712767,0.8679248094558716,0.49729511532851534,1.031,1.3307524919509888,5.996399168201322e-05,1.0516810417175293,2.3282,197.58,24.912
6721,13.0,0.03217391304347826,0.0623208796034883,0.0623208796034883,0.13517897493854295,0.7968413254310345,0.2140790812907132,0.33160918141995,0.46483031004312686,1.3960164612422301,0.8686991930007935,0.5026068661110881,1.0202,0.5746644735336304,5.538603347845514e-05,1.0483027696609497,2.3432,196.315,24.753
7238,14.0,0.02826086956521739,0.06867217565043653,0.06867217565043653,0.13007873567229616,0.7982893318965517,0.20894496286278094,0.32645912175255826,0.46128973120946193,1.3471543363161067,0.8680524230003357,0.5061916419807012,1.0085,0.8521695137023926,5.069129410753118e-05,1.043821096420288,2.3422,196.393,24.763
7755,15.0,0.03,0.06620214568040655,0.06620214568040655,0.12601156110265754,0.7994342672413793,0.20730433760785574,0.32525056709616096,0.4608950132026899,1.346432913733218,0.8676902055740356,0.5059714795770529,0.9987,0.7120441794395447,4.5932561493077016e-05,1.0333527326583862,2.33,197.428,24.893
8272,16.0,0.029130434782608697,0.07385816598860077,0.07385816598860077,0.1325337127928652,0.7989964978448276,0.21335411649394484,0.33008183219660364,0.46437812386311556,1.2926843892287527,0.8689935803413391,0.5101429392859016,0.9895,1.0407649278640747,4.1163343102698114e-05,1.0335599184036255,2.3469,196.006,24.714
8789,17.0,0.03434782608695652,0.08000592885375493,0.08000592885375493,0.13745507207305757,0.8005455280172413,0.21818301378180863,0.33516305563815885,0.4663493768324098,1.330208462846885,0.869236171245575,0.5111139621366949,0.9835,0.6942732334136963,3.6437264306677195e-05,1.0270975828170776,2.3028,199.753,25.186
9306,18.0,0.03173913043478261,0.07756790311138137,0.07756790311138137,0.13462899689371652,0.8004108297413793,0.2154526687893021,0.3308942224164312,0.4646733805634474,1.3055516004699246,0.8688321113586426,0.5108008183044908,0.9772,0.7773726582527161,3.180746541117708e-05,1.0289596319198608,2.2763,202.079,25.48
9823,19.0,0.03826086956521739,0.07902944398596572,0.07902944398596572,0.1429978325156016,0.8009496228448276,0.22164246724006745,0.3339502774808167,0.4673173708874556,1.2785024504234646,0.8699357509613037,0.5168986369385992,0.971,0.630292534828186,2.732600414553279e-05,1.0309584140777588,2.291,200.79,25.317
10340,20.0,0.033478260869565214,0.0798260435216957,0.0798260435216957,0.13671620413577565,0.8015220905172413,0.2188458176573984,0.3324368776975452,0.4650399429831592,1.2962875614833698,0.8692319393157959,0.514503188594042,0.966,0.9002022743225098,2.3043270322100712e-05,1.0247538089752197,2.3062,199.464,25.15
10857,21.0,0.03391304347826087,0.07884119503684721,0.07884119503684721,0.13699496715641593,0.8015894396551724,0.2171696303699836,0.3307913475198982,0.4649604844227491,1.258676024786665,0.8694368600845337,0.5155251298852913,0.9606,1.0103460550308228,1.9007419250263886e-05,1.0276730060577393,2.2972,200.248,25.249
11374,22.0,0.034782608695652174,0.08104810889593499,0.08104810889593499,0.13555620776852068,0.8015894396551724,0.21553669312844267,0.32923341345418083,0.46268946686193263,1.2541639180187372,0.8688784837722778,0.5138888417451601,0.9578,1.2095659971237183,1.5263830275319203e-05,1.0294076204299927,2.297,200.265,25.251
11891,23.0,0.03782608695652174,0.08352116241246677,0.08352116241246677,0.13693696333806316,0.8019598599137931,0.2171829674937022,0.3310569258647803,0.46406364396879485,1.2690124192027556,0.8687592148780823,0.5145135674925279,0.9556,0.5591952800750732,1.1854596530467018e-05,1.0291491746902466,2.1585,213.115,26.871
12408,24.0,0.03869565217391304,0.08560538977930282,0.08560538977930282,0.13869824538638456,0.8022292564655172,0.21989212989482396,0.3330951375491294,0.4652387822851906,1.2594738968681272,0.8693317174911499,0.5180735926953671,0.9546,0.5943171381950378,8.818051639161637e-06,1.0255264043807983,2.1515,213.802,26.958
12925,25.0,0.03826086956521739,0.0828207106902759,0.0828207106902759,0.13694332577585047,0.8019261853448276,0.21801445179495493,0.33198777977760496,0.4646196907423473,1.2667261541494177,0.8691070675849915,0.5161142123774018,0.9519,0.8453774452209473,6.188338689609075e-06,1.0252262353897095,2.1525,213.704,26.945
13442,26.0,0.03782608695652174,0.08227375040418519,0.08227375040418519,0.13740362976124149,0.8020272090517241,0.2187086933601357,0.33249984498783586,0.46503847347411487,1.2746553153395077,0.8693417906761169,0.5158831182292298,0.9503,0.7288561463356018,3.995026327888003e-06,1.0246769189834595,2.1517,213.783,26.955
13959,27.0,0.03826086956521739,0.08149876452050366,0.08149876452050366,0.13633961024890778,0.8020945581896551,0.21668478341063352,0.33036080380444754,0.4632529737754359,1.281309550728559,0.8688596487045288,0.5139797676427533,0.9483,0.5759150385856628,2.262776286365365e-06,1.0262115001678467,2.1177,217.213,27.388
14476,28.0,0.03826086956521739,0.08129690116646639,0.08129690116646639,0.13599749802444935,0.8019935344827587,0.216420756386108,0.33030950340121185,0.4633363507413147,1.2782671014820661,0.8687622547149658,0.5145601034464071,0.9477,0.4802996814250946,1.0110660857364518e-06,1.0263177156448364,2.1225,216.723,27.326
14993,29.0,0.03782608695652174,0.08173168377516203,0.08173168377516203,0.13636324012644968,0.8020608836206896,0.21693842546885467,0.3306983405580418,0.4637995037143719,1.2767763214867738,0.8688498735427856,0.5141253487611919,0.9478,0.5590614080429077,2.5397002864398336e-07,1.0257811546325684,2.1493,214.019,26.985
15510,30.0,0.03782608695652174,0.08173168377516203,0.08173168377516203,0.13636382662649374,0.8020608836206896,0.216938023083977,0.3307084058885502,0.4637821560651519,1.2768953310657594,0.8688334822654724,0.5141149712685982,0.9479,0.5991042256355286,9.473967260698048e-13,1.0257121324539185,2.1181,217.179,27.383
